no,ulasan,GT
1214,"
Assalamualikum,,,kami dari Denpasar Bali minta tolong untuk info PPDB tahun ajaran 2022 Terima kasih
,",N
1215,"
Tempatnya sejuk, tertata rapi, dan guru2nya kompeten. Siswa dan siswi nya berprestasi. Terimakasih :)",D
1216,"
Alhamdulillah. MAN 2 Kota Malang semakin berjaya dan semoga berkah. Selamat atas prestasi Robotiknya, Mas Archie dan Mas azzam.",D
1217,"
Semoga senantiasa sukses selalu",D
1218,"
sangat hijauuu",N
1219,"
MAN 2 KOTA MALANG MERUPAKAN SEKOLAH FAVORIT YANG MENGUTAMAKAN IMTAQ DAN IPTEK",D
1220,"
Salah satu Madrasah Aliyah terbaik di Indonesia",D
1221,"
MANTSALISMA selalu dihatiðŸ‘",D
1222,"
Madrasah adalah sekolah yang memadukan Dua orientasi antara IPTEK dan IMTAK.. semoga MAN 2 (x MAn 3) jaya selalu..
MADRASAH ðŸ‘",D
1223,"
Tolong dokumentasi/foto kegiatan saat man3 dulu di munculkan kembali di website. Karena menurut saya itu menarik untuk melihat perjalanan man 3 / Man 2 kota Malang hingga saat ini.

Terbaik!",TD
1224,"
Terbaik. Sekolah kebanggaan.",D
1225,"
Sekolahnya para juara,, mantap",D
1226,"
Assalamualaikum war wb
MAN 2 Kota Malang sdh dinilai oleh TPI Irjen Kemenag RI dalan mewujudkan zona integritas, mudahan dg dukungan doa Bapak Ibu Komite, GTK, Wali Siswa, Siswa dan Masyarakat, akan terwujud MAN 2 Kota Malang menuju WBK-WBBM yaitu Wilayah Bebas dari Korupsi serta Wilayah Birokrasi Bersih Melayani.
Atas peran serta Bpk Ibu semua, kami ucapkan trimakasihðŸ™",N
1227,"
Semoga prestasi demi prestasi MAN 2 Kota Malang tetap menjadi kebanggaan umat. Aamiin YRA",D
1228,"
Salah satu sekolah keren nih. Fasilitas oke, ruangan kelas oke dengan ventilasi udara yang baik, suasana pembelajarannya mantap, dan yang penting lagi guru-gurunya gaul. Zaman saya ada Pak Edi Sutomo. Ngajarnya enak, membaur ke siswa. Dan satu lagi, beliau juga pinter bange matematika, kayak benar-benar guru matematika gitu. Beliau calon penerus kejayaan MAN 2 Kota Malang saya yakin, kandidat terbaik Kepala Sekolah selanjutnya.",D
1229,"
Banyak cerita, banyak ilmu dan banyak pengalaman yg kudapatkan dr MAN 2 Kota Malang (Eks MAN 3) semoga makin sukses.",D
1230,"
Salah satu MAN terbaik dikota malang",D
1231,"
Kereeeen",D
1232,"
MAN favorit di Malang, siswa berasal dari seluruh Indonesia, seleksi masuk lumayan ketat.",D
1233,"
Banyak kenangan indah disini",D
1234,"
bersyukur 2 anak saya lulusan sekolah ini, ilmu agama dan akademik yg seimbang, serta lingkungan yg baik. Alhamdulillah...",D
1235,"
Assalamualaikum, kami dari kaltim ingin informasi PPDB untuk siswa luar daerah",N
1236,"
Kurang terbuka untuk hasil psbb, sudah menjadi sekolah komersil",TD
1237,"
Sekolah yg bagus",D
1238,"
Tempatnya teduh",D
1239,"if you are interested can contact me at 087812515384. Devi budianto

(Original)
Met siank bpk/ibu
Permisi saya mau menawarkan jasa renovasi pembuatan, pengecatan sarana olahraga ( Lap basket, Lap tennis, Lap voli, Lap futsal doll) kalau bpk/ ibu berminat bisa hub saya di no 087812515384. Devi budianto",N
1240,"
Sangat bagus",D
1241,"
MAN 2 Kota Malang berada di jln bandung, kota malang. Jadi satu dengan madrasah terpadu (min 1, mtsn 1, man 2). Gedungnya besar...bersih dan indah. Sekarang sedang berjalan pendaftaran calon siswa baru tahun ajaran 2020/2021 jalur prestasi dan terpadu yang dibuka hingga 17 Januari (semoga tidak salah tanggal) 2020 dengan jadwal seleksi 25-26 januari...",D
